"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"1","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","COSTOS","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","alta","2","COSTOS.sql","Wrapper raiz analizado recursivamente"
"2","DB","/stbybackup/scripts_proc_nocturnos/costos_lic.sql","costos_lic","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 8"
"3","DB","/stbybackup/scripts_proc_nocturnos/costos_lic.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_lic.sql linea 831"
"4","DB","/stbybackup/scripts_proc_nocturnos/costos_pp.sql","costos_pp","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 10"
"5","DB","/stbybackup/scripts_proc_nocturnos/costos_pp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_pp.sql linea 630"
"6","DB","/stbybackup/scripts_proc_nocturnos/costos_div.sql","costos_div","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 11"
"7","DB","/stbybackup/scripts_proc_nocturnos/costos_div.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_div.sql linea 557"
"8","DB","/stbybackup/scripts_proc_nocturnos/costos_ofo.sql","costos_ofo","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 12"
"9","DB","/stbybackup/scripts_proc_nocturnos/costos_ofo.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_ofo.sql linea 556"
"10","DB","/stbybackup/scripts_proc_nocturnos/costos_odp.sql","costos_odp","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 13"
"11","DB","/stbybackup/scripts_proc_nocturnos/costos_odp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_odp.sql linea 357"
"12","DB","/stbybackup/scripts_proc_nocturnos/costos_adval.sql","costos_adval","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 14"
"13","DB","/stbybackup/scripts_proc_nocturnos/costos_adval.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costos_adval.sql linea 381"
"14","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_COSTOS.GENERAR_COSTOS_DECEVAL","P_COSTOS","GENERAR_COSTOS_DECEVAL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","alta","1","COSTOS.sql","Llamado EXEC detectado en COSTOS.sql linea 15"
"15","DB","/stbybackup/scripts_proc_nocturnos/generacion_saldo_diario.sql","generacion_saldo_diario","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 19"
"16","DB","/stbybackup/scripts_proc_nocturnos/saldos_fondoaccion.sql","saldos_fondoaccion","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 20"
"17","DB","/stbybackup/scripts_proc_nocturnos/saldos_fondoaccion.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en saldos_fondoaccion.sql linea 94"
"18","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","costo_general_operaciones","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 23"
"19","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","P_WEB_EXTRACTO.DIA_HABIL","P_WEB_EXTRACTO","DIA_HABIL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costo_general_operaciones.sql linea 322"
"20","DB","/stbybackup/scripts_proc_nocturnos/costo_general_operaciones.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costo_general_operaciones.sql linea 370"
"21","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_COSTOS.PR_COSTOS_MEC","P_COSTOS","PR_COSTOS_MEC","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","alta","1","COSTOS.sql","Llamado EXEC detectado en COSTOS.sql linea 24"
"22","DB","/stbybackup/scripts_proc_nocturnos/costo_saldos_diarios.sql","costo_saldos_diarios","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 28"
"23","DB","/stbybackup/scripts_proc_nocturnos/costo_saldos_diarios.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en costo_saldos_diarios.sql linea 229"
"24","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_ORDENES_COMERCIAL.ANULACION_CANCELACION_ORDENES","P_ORDENES_COMERCIAL","ANULACION_CANCELACION_ORDENES","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno sin parentesis detectado en COSTOS.sql linea 32"
"25","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_ORDENES_COMERCIAL.P_NUMERACION_SUPER","P_ORDENES_COMERCIAL","P_NUMERACION_SUPER","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno sin parentesis detectado en COSTOS.sql linea 33"
"26","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_FONDOS_WEB.RENTABILIDAD_FONDOS","P_FONDOS_WEB","RENTABILIDAD_FONDOS","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en COSTOS.sql linea 38"
"27","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_INACTIVA_CLIENTES.INACTIVAR_CLIENTES_UNICA_OP","P_INACTIVA_CLIENTES","INACTIVAR_CLIENTES_UNICA_OP","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno sin parentesis detectado en COSTOS.sql linea 45"
"28","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_REPORTES.GENERAR_CRITERIOS_COMERCIAL","P_REPORTES","GENERAR_CRITERIOS_COMERCIAL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","COSTOS.sql","Llamado interno detectado en COSTOS.sql linea 52"
