"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"1","DB","/stbybackup/scripts_proc_nocturnos/QUERY_KILL_SESSION.sql","QUERY_KILL_SESSION","","","/stbybackup/logs_coeasy_nocturnos/QUERY_KILL_SESSION.log","pendiente","por-definir","por-definir","",""
"2","DB","/stbybackup/scripts_proc_nocturnos/INICIO_PROCESOS_COEASY.sql","INICIO_PROCESOS_COEASY","","","/stbybackup/logs_coeasy_nocturnos/INICIO_PROCESOS_COEASY.log","pendiente","por-definir","por-definir","",""
"3","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.sql","P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS","P_PROCESOS_NOCTURNOS","PR_INACTIVA_COTRATO_DERIVADOS","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.log","pendiente","por-definir","por-definir","",""
"4","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.sql","P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO","P_PROCESOS_NOCTURNOS","PR_NOC_GARANTIAS_EFECTIVO","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.log","pendiente","por-definir","por-definir","",""
"5","DB","/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql","OPERACIONES_DIARIAS","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","",""
"6","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","COSTOS","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","por-definir","por-definir","",""
"7","DB","/stbybackup/scripts_proc_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.sql","P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE","P_SALDOS_CLIENTES","P_CALCULO_SALDOS_CANJE","/stbybackup/logs_coeasy_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.log","pendiente","por-definir","por-definir","",""
"8","DB","/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql","EXTRACTO","","","/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log","pendiente","por-definir","por-definir","",""
"9","DB","/stbybackup/scripts_proc_nocturnos/TITULOS.sql","TITULOS","","","/stbybackup/logs_coeasy_nocturnos/TITULOS.log","pendiente","por-definir","por-definir","",""
"10","DB","/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.sql","P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA","P_OPERACIONES","CAUSACION_OP_BURSATIL_DIARIA","/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.log","pendiente","por-definir","por-definir","",""
"11","DB","/stbybackup/scripts_proc_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.sql","P_CONTABILIZAR_DIA.P_CONTAB_DIA","P_CONTABILIZAR_DIA","P_CONTAB_DIA","/stbybackup/logs_coeasy_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.log","pendiente","por-definir","por-definir","",""
"12","DB","/stbybackup/scripts_proc_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.sql","P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA","P_NEGOCIOS_POSICION","CALCULAR_SALDOS_INICIO_DIA","/stbybackup/logs_coeasy_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.log","pendiente","por-definir","por-definir","",""
"13","DB","/stbybackup/scripts_proc_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.sql","P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD","P_RECALCULO_RENTABILIDAD","GENERACION_RENTABILIDAD","/stbybackup/logs_coeasy_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.log","pendiente","por-definir","por-definir","",""
"14","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS.sql","DIVISAS","","","/stbybackup/logs_coeasy_nocturnos/DIVISAS.log","pendiente","por-definir","por-definir","",""
"15","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS_1.sql","DIVISAS_1","","","/stbybackup/logs_coeasy_nocturnos/DIVISAS_1.log","pendiente","por-definir","por-definir","",""
"16","DB","/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.sql","P_OPERACIONES.MAIL_VTAS_PENDIENTES","P_OPERACIONES","MAIL_VTAS_PENDIENTES","/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.log","pendiente","por-definir","por-definir","",""
"17","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.sql","P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES","P_PROCESOS_NOCTURNOS","P_SALDOS_DIARIOS_CLIENTES","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.log","pendiente","por-definir","por-definir","",""
"18","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS.sql","P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS","P_PROCESOS_NOCTURNOS","P_SALDOS_DIARIOS_DERIVADOS","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS.log","pendiente","por-definir","por-definir","",""
"19","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS.sql","P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS","P_PROCESOS_NOCTURNOS","P_SALDOS_DIARIOS_FONDOS","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS.log","pendiente","por-definir","por-definir","",""
"20","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS.sql","P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS","P_PROCESOS_NOCTURNOS","P_SALDOS_INCUMPLIDOS","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS.log","pendiente","por-definir","por-definir","",""
"21","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO.sql","P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO","P_PROCESOS_NOCTURNOS","GENERAR_IMGF_DIARIO","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO.log","pendiente","por-definir","por-definir","",""
"22","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA.sql","P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA","P_PROCESOS_NOCTURNOS","P_BORRADO_CENLINEA","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA.log","pendiente","por-definir","por-definir","",""
"23","DB","/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS.sql","P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS","P_PROCESOS_NOCTURNOS","PR_CUPOS_BANCOS","/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS.log","pendiente","por-definir","por-definir","",""
