,,,,,,,,,,,,OPERADOR NOCTURNO,,,
orden,tipo,script,objeto,paquete,procedimiento,log,estado_traza,prioridad,oleada,origen_wrapper,observacion,,,,
3,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.sql,P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS,P_PROCESOS_NOCTURNOS,PR_INACTIVA_COTRATO_DERIVADOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.log,pendiente,por-definir,por-definir,,,2,P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.log,no se ejecuta,Coincide
4,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.sql,P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO,P_PROCESOS_NOCTURNOS,PR_NOC_GARANTIAS_EFECTIVO,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.log,pendiente,por-definir,por-definir,,,3,P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.log,no se ejecuta,Coincide
7,DB,/stbybackup/scripts_proc_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.sql,P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE,P_SALDOS_CLIENTES,P_CALCULO_SALDOS_CANJE,/stbybackup/logs_coeasy_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.log,pendiente,por-definir,por-definir,,,6,P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.log,no se ejecuta,Coincide
10,DB,/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.sql,P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA,P_OPERACIONES,CAUSACION_OP_BURSATIL_DIARIA,/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.log,pendiente,por-definir,por-definir,,,9,P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.log,no se ejecuta,Coincide
11,DB,/stbybackup/scripts_proc_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.sql,P_CONTABILIZAR_DIA.P_CONTAB_DIA,P_CONTABILIZAR_DIA,P_CONTAB_DIA,/stbybackup/logs_coeasy_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.log,pendiente,por-definir,por-definir,,,10,P_CONTABILIZAR_DIA.P_CONTAB_DIA.log,no se ejecuta,Coincide
12,DB,/stbybackup/scripts_proc_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.sql,P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA,P_NEGOCIOS_POSICION,CALCULAR_SALDOS_INICIO_DIA,/stbybackup/logs_coeasy_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.log,pendiente,por-definir,por-definir,,,11,P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.log,no se ejecuta,Coincide
13,DB,/stbybackup/scripts_proc_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.sql,P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD,P_RECALCULO_RENTABILIDAD,GENERACION_RENTABILIDAD,/stbybackup/logs_coeasy_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.log,pendiente,por-definir,por-definir,,,12,P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.log,ejecutar,Coincide
16,DB,/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.sql,P_OPERACIONES.MAIL_VTAS_PENDIENTES,P_OPERACIONES,MAIL_VTAS_PENDIENTES,/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.log,pendiente,por-definir,por-definir,,,15,P_OPERACIONES.MAIL_VTAS_PENDIENTES.log,no se ejecuta,Coincide
17,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.sql,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES,P_PROCESOS_NOCTURNOS,P_SALDOS_DIARIOS_CLIENTES,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.log,pendiente,por-definir,por-definir,,,16,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.log,ejecutar,Coincide
