"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"54","DB","/stbybackup/scripts_proc_nocturnos/QUERY_KILL_SESSION.sql","","","","/stbybackup/logs_coeasy_nocturnos/QUERY_KILL_SESSION.log","pendiente","media","2","QUERY_KILL_SESSION.sql","Sin llamadas paquete.procedimiento detectables en QUERY_KILL_SESSION.sql"
"55","DB","/stbybackup/scripts_proc_nocturnos/INICIO_PROCESOS_COEASY.sql","P_MAIL.BEGIN_MAIL","P_MAIL","BEGIN_MAIL","/stbybackup/logs_coeasy_nocturnos/INICIO_PROCESOS_COEASY.log","pendiente","alta","3","INICIO_PROCESOS_COEASY.sql","Extraido de INICIO_PROCESOS_COEASY.sql linea 7"
"56","DB","/stbybackup/scripts_proc_nocturnos/INICIO_PROCESOS_COEASY.sql","P_MAIL.MULTIPART_MIME_TYPE","P_MAIL","MULTIPART_MIME_TYPE","/stbybackup/logs_coeasy_nocturnos/INICIO_PROCESOS_COEASY.log","pendiente","alta","3","INICIO_PROCESOS_COEASY.sql","Extraido de INICIO_PROCESOS_COEASY.sql linea 10"
"57","DB","/stbybackup/scripts_proc_nocturnos/INICIO_PROCESOS_COEASY.sql","P_MAIL.ATTACH_TEXT","P_MAIL","ATTACH_TEXT","/stbybackup/logs_coeasy_nocturnos/INICIO_PROCESOS_COEASY.log","pendiente","alta","3","INICIO_PROCESOS_COEASY.sql","Extraido de INICIO_PROCESOS_COEASY.sql linea 11"
"58","DB","/stbybackup/scripts_proc_nocturnos/INICIO_PROCESOS_COEASY.sql","P_MAIL.END_MAIL","P_MAIL","END_MAIL","/stbybackup/logs_coeasy_nocturnos/INICIO_PROCESOS_COEASY.log","pendiente","alta","3","INICIO_PROCESOS_COEASY.sql","Extraido de INICIO_PROCESOS_COEASY.sql linea 34"
"59","DB","/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql","P_NEGOCIOS_POSICION.COMISIONES_SIMULTANEAS_PP","P_NEGOCIOS_POSICION","COMISIONES_SIMULTANEAS_PP","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","alta","1","OPERACIONES_DIARIAS.sql","Extraido de OPERACIONES_DIARIAS.sql linea 15"
"60","DB","/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql","P_PROCESOS_NOCTURNOS.PR_DISTRIBUYE_PP_CCIAL","P_PROCESOS_NOCTURNOS","PR_DISTRIBUYE_PP_CCIAL","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","alta","1","OPERACIONES_DIARIAS.sql","Extraido de OPERACIONES_DIARIAS.sql linea 34"
"61","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_COSTOS.GENERAR_COSTOS_DECEVAL","P_COSTOS","GENERAR_COSTOS_DECEVAL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","alta","1","COSTOS.sql","Extraido de COSTOS.sql linea 15"
"62","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_COSTOS.PR_COSTOS_MEC","P_COSTOS","PR_COSTOS_MEC","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","alta","1","COSTOS.sql","Extraido de COSTOS.sql linea 24"
"63","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_ORDENES_COMERCIAL.ANULACION_CANCELACION_ORDENES","P_ORDENES_COMERCIAL","ANULACION_CANCELACION_ORDENES","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Extraido de COSTOS.sql linea 32"
"64","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_ORDENES_COMERCIAL.P_NUMERACION_SUPER","P_ORDENES_COMERCIAL","P_NUMERACION_SUPER","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Extraido de COSTOS.sql linea 33"
"65","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_FONDOS_WEB.RENTABILIDAD_FONDOS","P_FONDOS_WEB","RENTABILIDAD_FONDOS","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Extraido de COSTOS.sql linea 38"
"66","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_INACTIVA_CLIENTES.INACTIVAR_CLIENTES_UNICA_OP","P_INACTIVA_CLIENTES","INACTIVAR_CLIENTES_UNICA_OP","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Extraido de COSTOS.sql linea 45"
"67","DB","/stbybackup/scripts_proc_nocturnos/COSTOS.sql","P_REPORTES.GENERAR_CRITERIOS_COMERCIAL","P_REPORTES","GENERAR_CRITERIOS_COMERCIAL","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Extraido de COSTOS.sql linea 52"
"68","DB","/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql","P_MAIL_EXTRACTO_CLIENTE.MAIL_PROCESO_CLIENTE","P_MAIL_EXTRACTO_CLIENTE","MAIL_PROCESO_CLIENTE","/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log","pendiente","media","2","EXTRACTO.sql","Extraido de EXTRACTO.sql linea 6"
"69","DB","/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql","P_MAIL_EXTRACTO_CLIENTE.MAIL_PROCESO_EXTRACTO_FONDOS","P_MAIL_EXTRACTO_CLIENTE","MAIL_PROCESO_EXTRACTO_FONDOS","/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log","pendiente","media","2","EXTRACTO.sql","Extraido de EXTRACTO.sql linea 9"
"70","DB","/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql","P_EXTRACTO_PRUEBAS.MAIL_PROCESO_EXTRACTO_FONDOS","P_EXTRACTO_PRUEBAS","MAIL_PROCESO_EXTRACTO_FONDOS","/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log","pendiente","media","2","EXTRACTO.sql","Extraido de EXTRACTO.sql linea 11"
"71","DB","/stbybackup/scripts_proc_nocturnos/TITULOS.sql","P_CLIENTES_TITULOS.GENERAR_SALDOS_DIA","P_CLIENTES_TITULOS","GENERAR_SALDOS_DIA","/stbybackup/logs_coeasy_nocturnos/TITULOS.log","pendiente","media","2","TITULOS.sql","Extraido de TITULOS.sql linea 3"
"72","DB","/stbybackup/scripts_proc_nocturnos/TITULOS.sql","P_CLIENTES_TITULOS.COMPROMISOS","P_CLIENTES_TITULOS","COMPROMISOS","/stbybackup/logs_coeasy_nocturnos/TITULOS.log","pendiente","media","2","TITULOS.sql","Extraido de TITULOS.sql linea 13"
"73","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS.sql","P_DIVISAS.T_REGISTRO_230","P_DIVISAS","T_REGISTRO_230","/stbybackup/logs_coeasy_nocturnos/DIVISAS.log","pendiente","alta","1","DIVISAS.sql","Extraido de DIVISAS.sql linea 4"
"74","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS.sql","P_DIVISAS.T_REGISTRO_465","P_DIVISAS","T_REGISTRO_465","/stbybackup/logs_coeasy_nocturnos/DIVISAS.log","pendiente","alta","1","DIVISAS.sql","Extraido de DIVISAS.sql linea 5"
"75","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS.sql","P_DIVISAS.P_MAIL_FORMATO_230","P_DIVISAS","P_MAIL_FORMATO_230","/stbybackup/logs_coeasy_nocturnos/DIVISAS.log","pendiente","alta","1","DIVISAS.sql","Extraido de DIVISAS.sql linea 9"
"76","DB","/stbybackup/scripts_proc_nocturnos/DIVISAS.sql","P_DIVISAS.P_MAIL_FORMATO_465","P_DIVISAS","P_MAIL_FORMATO_465","/stbybackup/logs_coeasy_nocturnos/DIVISAS.log","pendiente","alta","1","DIVISAS.sql","Extraido de DIVISAS.sql linea 13"
