"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"1","DB","/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql","OPERACIONES_DIARIAS","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","alta","2","OPERACIONES_DIARIAS.sql","Wrapper raiz analizado recursivamente"
"2","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","proceso_distribucion","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 12"
"3","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","P_WEB_EXTRACTO.DIA_HABIL","P_WEB_EXTRACTO","DIA_HABIL","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","OPERACIONES_DIARIAS.sql","Llamado interno detectado en proceso_distribucion.sql linea 2420"
"4","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","OPERACIONES_DIARIAS.sql","Llamado interno detectado en proceso_distribucion.sql linea 2678"
"5","DB","/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql","P_NEGOCIOS_POSICION.COMISIONES_SIMULTANEAS_PP","P_NEGOCIOS_POSICION","COMISIONES_SIMULTANEAS_PP","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","alta","1","OPERACIONES_DIARIAS.sql","Llamado EXEC detectado en OPERACIONES_DIARIAS.sql linea 15"
"6","DB","/stbybackup/scripts_proc_nocturnos/confirma_participacion.sql","confirma_participacion","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 17"
"7","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_divisas.sql","distribucion_clientes_divisas","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 21"
"8","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_divisas.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_divisas.sql linea 142"
"9","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rvariable.sql","distribucion_clientes_rvariable","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 22"
"10","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rvariable.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_rvariable.sql linea 139"
"11","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_pp.sql","distribucion_clientes_pp","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 23"
"12","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_pp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","por-definir","por-definir","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_pp.sql linea 1677"
"13","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rfija.sql","distribucion_clientes_rfija","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 24"
